type,name,lon,lat
metro,1 PORTAZGO,-3.658685211486692,40.392656804760804
metro,1 PUENTE DE VALLECAS,-3.6690617034429036,40.3981918732199
metro,1 RIOS ROSAS,-3.7013322873211663,40.4419737585179
metro,1 SIERRA DE GUADALUPE,-3.624724516699161,40.38216046446645
metro,1 SOL,-3.7032639472488222,40.416871893770455
metro,1 TETUAN,-3.69825834158428,40.46055088842156
metro,1 TIRSO DE MOLINA,-3.704666474578768,40.41234081319718
metro,1 TRIBUNAL,-3.701109289546837,40.426182305029535
metro,1 VALDEACEDERAS,-3.6950664665123973,40.46441695832889
metro,1 VALDECARROS,-3.593169836651139,40.36006503137792
metro,1 VILLA DE VALLECAS,-3.621308015889596,40.37959325302986
metro,10A ALONSO MARTINEZ,-3.696441598173451,40.42852583791778
