host_response_time,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month,district,neighbourhood,has_wifi,has_essentials,has_kitchen,has_heating,has_washer,has_hangers,has_tv,has_hair_dryer,has_iron,has_shampoo,has_laptop_friendly_workspace,has_air_conditioning,has_hot_water,has_elevator,has_refrigerator,has_dishes_and_silverware,has_microwave,has_bed_linens,has_no_stairs_or_steps_to_enter,has_coffee_maker,has_cooking_basics,has_family/kid_friendly,has_long_term_stays_allowed,has_first_aid_kit,has_oven,has_stove,has_license,activity_months,income_med_occupation,price_med_occupation_per_accommodate
within an hour,37.38081,-5.98592,Loft,Entire home/apt,6,1.0,2,58.5,135.0,13.5,4,9.0,2.1,365.0,322,40,2012-02-06,2019-09-09,92.0,9.0,9.0,9.0,9.0,10.0,9.0,1,strict_14_with_grace_period,3.46,Nervion,SAN BERNARDO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,91.07373868046572,189.0,63.0
within an hour,37.38807,-5.99184,Apartment,Entire home/apt,6,1.0,2,103.5,0.0,0.0,2,7.2,3.0,1125.0,219,28,2012-02-06,2019-09-24,89.0,9.0,9.0,10.0,10.0,10.0,9.0,1,flexible,2.35,Casco Antiguo,SANTA CRUZ,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,91.56656194172365,332.1,110.7
within an hour,37.39071,-5.994680000000001,Apartment,Entire home/apt,6,1.0,2,103.5,0.0,0.0,2,7.2,3.0,1125.0,98,12,2012-01-02,2019-06-12,90.0,9.0,9.0,9.0,10.0,10.0,9.0,1,flexible,1.04,Casco Antiguo,ALFALFA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,89.29957493993716,332.1,110.7
within a few hours,37.385259999999995,-5.99204,Apartment,Entire home/apt,4,1.0,1,122.4,135.0,27.0,2,18.9,2.2,365.0,36,1,2012-04-14,2019-06-11,89.0,10.0,9.0,9.0,9.0,10.0,9.0,0,strict_14_with_grace_period,0.4,Casco Antiguo,SANTA CRUZ,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85.8826669952155,394.2,197.1
within an hour,37.386759999999995,-5.9921,Apartment,Entire home/apt,5,1.0,2,81.0,90.0,27.0,1,0.0,3.0,365.0,105,8,2012-01-10,2019-09-11,85.0,9.0,9.0,9.0,9.0,10.0,9.0,1,strict_14_with_grace_period,1.12,Casco Antiguo,SANTA CRUZ,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,92.02653031889771,270.0,90.0
within an hour,37.39443,-5.99175,Apartment,Entire home/apt,4,1.0,1,54.9,0.0,26.1,2,9.0,2.0,14.0,355,72,2012-03-23,2019-09-29,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,flexible,3.88,Casco Antiguo,"ENCARNACION, REGINA",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,90.2195116942853,190.8,95.4
within an hour,37.39179,-5.98271,Apartment,Entire home/apt,6,1.0,2,67.5,90.0,0.0,2,18.0,3.0,365.0,324,53,2012-03-30,2019-09-25,95.0,10.0,10.0,10.0,10.0,10.0,10.0,1,moderate,3.55,Nervion,SAN ROQUE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,89.85810796936282,256.5,85.5
within an hour,37.388940000000005,-5.99274,Apartment,Entire home/apt,3,1.0,1,61.2,90.0,18.0,2,18.0,3.0,250.0,432,61,2012-04-16,2019-09-23,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,strict_14_with_grace_period,4.76,Casco Antiguo,SANTA CRUZ,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,89.23386517176944,201.6,100.8
within an hour,37.38657,-6.00551,Loft,Entire home/apt,2,1.0,1,36.0,0.0,0.0,1,0.0,2.0,59.0,309,37,2012-04-08,2019-09-25,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible,3.39,Triana,TRIANA CASCO ANTIGUO,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,89.56241401260806,108.0,108.0
a few days or more,37.39626,-5.993119999999999,Apartment,Entire home/apt,4,2.5,2,108.0,0.0,31.5,1,0.0,1.4,154.0,2,2,2019-05-28,2019-07-13,90.0,9.0,8.0,9.0,9.0,8.0,9.0,1,flexible,0.48,Casco Antiguo,FERIA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1.5113246678576562,355.5,177.75
a few days or more,37.396770000000004,-5.9914,House,Private room,1,2.0,1,31.5,0.0,9.0,1,0.0,2.2,139.3,26,13,2015-04-06,2019-09-01,93.0,10.0,9.0,10.0,10.0,10.0,9.0,1,flexible,0.48,Casco Antiguo,FERIA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,52.86350849093411,103.5,103.5
within an hour,37.38453,-5.993869999999999,Apartment,Private room,2,1.0,1,40.5,0.0,0.0,1,9.0,1.0,10.0,610,107,2012-05-25,2019-09-26,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,6.82,Casco Antiguo,ARENAL,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,88.05108934475041,121.5,121.5
