host_response_time,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month,district,neighbourhood,has_wifi,has_essentials,has_kitchen,has_heating,has_washer,has_hangers,has_tv,has_hair_dryer,has_iron,has_shampoo,has_laptop_friendly_workspace,has_air_conditioning,has_hot_water,has_elevator,has_refrigerator,has_dishes_and_silverware,has_microwave,has_bed_linens,has_no_stairs_or_steps_to_enter,has_coffee_maker,has_cooking_basics,has_family/kid_friendly,has_long_term_stays_allowed,has_first_aid_kit,has_oven,has_stove,has_license,activity_months,income_med_occupation,price_med_occupation_per_accommodate
within an hour,40.424620000000004,-3.7035199999999997,Apartment,Private room,3,2.0,1.0,28.8,135.0,13.5,1,18.0,1.0,365.0,594,65,2011-05-07,2019-09-14,89.0,9.0,9.0,9.0,10.0,10.0,9.0,1,strict_14_with_grace_period,5.83,Centro,Universidad,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,100.27310622394711,186.66,93.33
within a day,40.45559,-3.69421,Apartment,Private room,2,1.0,1.0,22.5,0.0,0.0,1,4.5,3.0,365.0,178,5,2012-05-14,2019-08-12,88.0,9.0,9.0,10.0,9.0,10.0,9.0,0,moderate,1.99,Tetuan,Cuatro Caminos,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.93402328589909,83.25,83.25
-unk-,40.50116,-3.67119,Apartment,Entire home/apt,2,1.0,1.0,54.0,0.0,18.0,2,18.0,2.0,30.0,3,0,2016-05-24,2016-06-24,93.0,10.0,9.0,10.0,9.0,9.0,9.0,0,flexible,0.07,Fuencarral,Valverde,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0185014065997249,217.8,217.8
within an hour,40.40858,-3.70301,Apartment,Entire home/apt,2,1.0,0.0,58.5,90.0,18.0,2,0.0,3.0,90.0,57,13,2013-10-09,2019-07-15,95.0,9.0,10.0,10.0,10.0,9.0,9.0,1,strict_14_with_grace_period,0.79,Centro,Embajadores,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,69.1595309965297,234.45,234.45
within a day,40.43158,-3.70071,Apartment,Entire home/apt,6,2.0,2.0,174.6,135.0,0.0,6,0.0,3.0,30.0,8,0,2011-07-15,2017-07-04,86.0,8.0,10.0,9.0,9.0,9.0,9.0,1,moderate,0.08,Chamberi,Trafalgar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,71.65650218690323,646.02,215.34
-unk-,40.42153,-3.6992300000000005,Apartment,Entire home/apt,4,1.0,2.0,85.5,225.0,54.0,1,18.0,2.0,730.0,17,9,2011-07-09,2019-04-10,91.0,9.0,9.0,10.0,10.0,10.0,9.0,0,moderate,0.17,Centro,Justicia,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,93.04503172549744,436.95,218.47
within an hour,40.43761,-3.6980199999999996,Apartment,Entire home/apt,4,2.0,2.0,67.5,135.0,36.0,2,18.0,2.0,120.0,167,31,2011-07-01,2019-09-14,91.0,9.0,10.0,9.0,9.0,10.0,9.0,1,flexible,1.67,Chamberi,Almagro,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,98.46608759933468,285.75,142.88
within a day,40.483129999999996,-3.7101699999999997,Apartment,Private room,1,1.5,1.0,36.0,0.0,0.0,1,0.0,1.0,730.0,8,8,2018-10-14,2019-06-13,98.0,10.0,9.0,10.0,10.0,9.0,10.0,1,flexible,0.7,Fuencarral,Pilar,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,7.950881948294626,133.2,133.2
-unk-,40.42707,-3.70698,Apartment,Entire home/apt,2,1.0,2.0,67.5,90.0,27.0,1,27.0,4.0,90.0,39,4,2015-03-08,2019-06-04,86.0,9.0,8.0,10.0,9.0,10.0,9.0,0,strict_14_with_grace_period,0.71,Centro,Universidad,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,50.89221544590238,276.75,276.75
within an hour,40.43825,-3.6938800000000005,Apartment,Entire home/apt,4,1.0,1.0,67.5,90.0,36.0,2,9.0,2.0,365.0,103,14,2011-10-03,2019-08-24,92.0,9.0,9.0,10.0,10.0,10.0,9.0,1,flexible,1.06,Chamberi,Rios Rosas,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94.68777592969055,285.75,142.88
