host_response_time,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month,district,neighbourhood,has_wifi,has_essentials,has_kitchen,has_heating,has_washer,has_hangers,has_tv,has_hair_dryer,has_iron,has_shampoo,has_laptop_friendly_workspace,has_air_conditioning,has_hot_water,has_elevator,has_refrigerator,has_dishes_and_silverware,has_microwave,has_bed_linens,has_no_stairs_or_steps_to_enter,has_coffee_maker,has_cooking_basics,has_family/kid_friendly,has_long_term_stays_allowed,has_first_aid_kit,has_oven,has_stove,has_license,activity_months,income_med_occupation,price_med_occupation_per_accommodate
within an hour,41.410990000000005,2.18119,Apartment,Entire home/apt,6,2.0,3.0,95.4,180.0,45.0,4,13.5,5.0,90.0,372,33,2011-04-08,2019-08-27,89.0,9.0,9.0,9.0,10.0,9.0,9.0,1,strict_14_with_grace_period,3.62,Sant Marti,el Camp de l'Arpa del Clot,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,100.63450994886959,445.68,148.56
within an hour,41.38901,2.16552,Apartment,Entire home/apt,6,1.0,2.0,94.5,67.5,49.5,2,13.5,2.0,90.0,45,9,2013-08-21,2019-08-29,85.0,9.0,8.0,9.0,9.0,10.0,9.0,1,moderate,0.61,Eixample,la Dreta de l'Eixample,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,72.24789010041275,503.1,167.7
within an hour,41.38322,2.18234,Apartment,Entire home/apt,6,2.0,2.0,171.0,270.0,54.0,4,13.5,3.0,365.0,110,23,2011-02-18,2019-08-26,89.0,9.0,9.0,9.0,9.0,10.0,9.0,1,strict_14_with_grace_period,1.05,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,102.21154438489496,772.2,257.4
within an hour,41.39161,2.15089,Apartment,Entire home/apt,7,2.0,4.0,69.3,180.0,91.8,7,0.0,2.0,27.0,78,27,2011-08-01,2019-08-07,85.0,8.0,9.0,8.0,9.0,9.0,8.0,1,strict_14_with_grace_period,0.79,Eixample,l'Antiga Esquerra de l'Eixample,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,96.19910059754821,382.86,95.72
within a day,41.380720000000004,2.1781099999999998,Apartment,Private room,2,2.0,1.0,44.1,360.0,27.0,1,36.0,2.0,730.0,82,24,2011-04-25,2019-09-10,95.0,9.0,9.0,10.0,10.0,10.0,9.0,0,strict_14_with_grace_period,0.8,Ciutat Vella,el Barri Gotic,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,100.535945296618,212.22,212.22
a few days or more,41.3974,2.17682,Apartment,Entire home/apt,2,1.0,1.0,126.0,180.0,40.5,2,31.5,2.0,1125.0,47,1,2011-03-27,2019-03-07,83.0,8.0,9.0,9.0,9.0,9.0,8.0,0,strict_14_with_grace_period,0.46,Eixample,el Fort Pienc,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,95.34487361136779,569.7,569.7
within an hour,41.38422,2.16701,Apartment,Entire home/apt,5,1.0,2.0,137.7,204.3,40.5,1,0.0,3.5,365.0,103,27,2013-05-28,2019-08-31,88.0,10.0,9.0,10.0,10.0,10.0,9.0,1,strict_14_with_grace_period,1.34,Ciutat Vella,el Raval,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,75.10626501570874,618.84,206.28
within an hour,41.40506,2.17081,Apartment,Entire home/apt,12,2.0,4.0,270.0,270.0,135.0,8,18.0,2.0,30.0,157,28,2011-06-04,2019-07-26,91.0,9.0,9.0,9.0,10.0,10.0,9.0,1,flexible,1.56,Gracia,el Camp d'en Grassot i Gracia Nova,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,97.71042526540586,1269.0,211.5
within an hour,41.39108,2.1652099999999996,Apartment,Entire home/apt,5,1.0,2.0,94.5,90.0,49.5,2,13.5,2.0,90.0,36,5,2012-08-01,2019-05-12,81.0,9.0,8.0,10.0,10.0,10.0,8.0,1,moderate,0.41,Eixample,la Dreta de l'Eixample,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,81.31583810755868,503.1,167.7
within an hour,41.371629999999996,2.16591,Apartment,Entire home/apt,5,1.0,2.0,58.5,90.0,49.5,2,13.5,2.0,90.0,40,11,2014-05-12,2019-08-18,84.0,9.0,8.0,10.0,10.0,10.0,8.0,1,moderate,0.61,Sants-Montjuic,el Poble Sec,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,63.21279697735066,351.9,117.3
within an hour,41.37335,2.16165,Apartment,Entire home/apt,4,1.0,2.0,58.5,90.0,49.5,2,13.5,2.0,90.0,74,19,2012-08-16,2019-09-08,82.0,9.0,7.0,10.0,10.0,9.0,8.0,1,moderate,0.86,Sants-Montjuic,el Poble Sec,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,84.73274605228033,295.2,147.6
within a few hours,41.38255,2.16836,Apartment,Private room,2,1.0,1.0,63.0,90.0,27.0,2,13.5,3.0,30.0,196,32,2011-03-12,2019-09-11,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,1.89,Ciutat Vella,el Raval,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,102.0144150803918,291.6,291.6
