host_response_time,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month,district,neighbourhood,has_wifi,has_essentials,has_kitchen,has_heating,has_washer,has_hangers,has_tv,has_hair_dryer,has_iron,has_shampoo,has_laptop_friendly_workspace,has_air_conditioning,has_hot_water,has_elevator,has_refrigerator,has_dishes_and_silverware,has_microwave,has_bed_linens,has_no_stairs_or_steps_to_enter,has_coffee_maker,has_cooking_basics,has_family/kid_friendly,has_long_term_stays_allowed,has_first_aid_kit,has_oven,has_stove,has_license,activity_months,income_med_occupation,price_med_occupation_per_accommodate
within an hour,36.72609,-4.418830000000001,Apartment,Entire home/apt,2,1.0,1.0,46.8,90.0,0.0,1,0.0,3.0,1125.0,193,36,2012-08-24,2019-09-19,94.0,10.0,10.0,10.0,10.0,9.0,10.0,1,strict_14_with_grace_period,2.23,nan,CENTRO,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,84.83131070453192,140.4,140.4
within an hour,36.64966,-4.47656,Apartment,Entire home/apt,6,1.0,2.0,81.0,135.0,36.0,3,18.0,1.8,30.0,38,15,2014-08-20,2019-09-15,89.0,9.0,9.0,10.0,10.0,9.0,9.0,1,flexible,0.61,nan,CHURRIANA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,60.84724532331259,279.0,93.0
within an hour,36.73128,-4.42436,Apartment,Entire home/apt,5,1.0,3.0,40.5,135.0,36.0,2,16.2,2.0,45.0,18,6,2013-07-31,2019-09-16,86.0,9.0,9.0,10.0,10.0,8.0,9.0,1,moderate,0.24,nan,CENTRO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,73.52923057968336,206.1,68.7
within an hour,36.72317,-4.42891,Apartment,Private room,2,1.0,1.0,30.6,0.0,0.0,2,0.0,1.3,365.0,692,116,2012-11-12,2019-09-24,97.0,10.0,10.0,10.0,10.0,9.0,9.0,1,strict_14_with_grace_period,8.26,nan,CENTRO,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,82.36719439824226,91.8,91.8
within an hour,36.72051,-4.42138,Apartment,Entire home/apt,3,1.0,1.0,67.5,90.0,31.5,2,18.0,2.0,1125.0,9,0,2013-10-16,2018-03-19,86.0,9.0,9.0,9.0,9.0,10.0,8.0,1,moderate,0.12,nan,CENTRO,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,53.06063779543728,234.0,117.0
within an hour,36.71735,-4.34732,Apartment,Entire home/apt,6,1.0,3.0,135.0,135.0,54.0,4,18.0,3.0,1125.0,10,1,2014-08-18,2019-08-07,87.0,9.0,10.0,10.0,9.0,9.0,9.0,1,strict_14_with_grace_period,0.16,nan,ESTE,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,59.631614612209695,459.0,153.0
within an hour,36.72834,-4.41483,Apartment,Entire home/apt,4,1.0,2.0,54.0,135.0,22.5,1,18.0,2.0,1125.0,21,1,2016-03-30,2019-08-18,93.0,10.0,9.0,10.0,10.0,10.0,9.0,0,flexible,0.49,nan,CENTRO,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,40.60863672765355,238.5,119.25
within a few hours,36.6933,-4.44923,Apartment,Private room,4,1.5,1.0,27.0,0.0,0.0,1,27.0,6.0,1125.0,2,0,2015-08-20,2018-08-04,40.0,4.0,5.0,6.0,8.0,7.0,4.0,1,strict_14_with_grace_period,0.04,nan,CARRETERA DE CADIZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.48327481057106,162.0,81.0
within a few hours,36.69292,-4.44984,Apartment,Private room,3,2.0,3.0,27.0,0.0,0.0,1,27.0,3.0,1125.0,9,1,2014-05-15,2019-04-21,89.0,9.0,7.0,10.0,10.0,9.0,9.0,0,strict_14_with_grace_period,0.14,nan,CARRETERA DE CADIZ,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,59.20450111911949,162.0,81.0
within an hour,36.720890000000004,-4.45057,Apartment,Entire home/apt,2,1.0,1.0,45.0,90.0,45.0,2,0.0,3.0,1125.0,6,1,2014-12-10,2019-07-07,77.0,7.0,9.0,8.0,8.0,8.0,8.0,1,strict_14_with_grace_period,0.1,nan,CRUZ DE HUMILLADERO,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,54.86765642004969,180.0,180.0
within a few hours,36.721,-4.34408,House,Private room,3,1.0,1.0,49.5,0.0,0.0,2,27.0,1.0,3.0,74,2,2014-03-17,2019-04-28,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible,1.1,nan,ESTE,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61.372923468654385,148.5,74.25
within a few hours,36.71739,-4.412719999999999,Apartment,Entire home/apt,4,1.0,2.0,45.0,0.0,27.0,2,22.5,3.0,60.0,188,23,2013-09-07,2019-09-28,94.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,2.55,nan,CENTRO,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,72.67500359350295,162.0,81.0
within a day,36.722559999999994,-4.41622,Apartment,Entire home/apt,4,2.0,2.0,99.0,0.0,54.0,4,13.5,2.0,999.0,68,9,2013-05-24,2019-08-09,92.0,10.0,9.0,10.0,9.0,10.0,9.0,1,strict_14_with_grace_period,0.88,nan,CENTRO,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,74.51487710219922,351.0,175.5
within an hour,36.72287,-4.41906,Apartment,Entire home/apt,9,2.5,4.0,90.0,180.0,40.5,4,22.5,2.0,30.0,147,28,2013-01-09,2019-09-10,93.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,1.8,nan,CENTRO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,80.00164274420419,378.0,75.6
within a few hours,36.72368,-4.4292300000000004,Apartment,Entire home/apt,2,1.0,0.0,48.6,0.0,0.0,1,0.0,7.9,223.4,2,0,2013-04-03,2015-01-04,80.0,9.0,9.0,9.0,9.0,8.0,9.0,0,strict_14_with_grace_period,0.03,nan,CENTRO,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,21.059980697755602,145.8,145.8
within a few hours,36.72361,-4.42842,Apartment,Entire home/apt,6,1.0,1.0,81.0,0.0,0.0,1,0.0,6.7,447.2,2,0,2016-07-29,2016-10-09,70.0,9.0,7.0,8.0,9.0,6.0,9.0,0,strict_14_with_grace_period,0.05,nan,CENTRO,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2.3655516540380708,243.0,81.0
within an hour,36.720929999999996,-4.4448099999999995,Apartment,Private room,2,1.0,1.0,14.4,76.5,0.0,1,6.3,5.0,1125.0,25,8,2013-02-13,2019-09-29,98.0,10.0,10.0,10.0,10.0,9.0,10.0,0,moderate,0.31,nan,CRUZ DE HUMILLADERO,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,79.4759645988624,43.2,43.2
